Element,Description,ConcentrationUnit,Note
Ag_grain,Silver,mg kg-1 DM,
Al_grain,Aluminium,mg kg-1 DM,
As_grain,Arsenic,mg kg-1 DM,
B_grain,Boron,mg kg-1 DM,
Ba_grain,Barium,mg kg-1 DM,
Be_grain,Beryllium,mg kg-1 DM,
Ca_grain,Calcium,mg kg-1 DM,
Cd_grain,Cadmium,mg kg-1 DM,
Co_grain,Cobalt,mg kg-1 DM,
Cr_grain,Chromium,mg kg-1 DM,
Cs_grain,Caesium,mg kg-1 DM,
Cu_grain,Copper,mg kg-1 DM,
Fe_grain,Iron,mg kg-1 DM,
K_grain,Potassium,mg kg-1 DM,
Li_grain,Lithium,mg kg-1 DM,
Mg_grain,Magnesium,mg kg-1 DM,
Mn_grain,Manganese,mg kg-1 DM,
Mo_grain,Molybdenum,mg kg-1 DM,
Ni_grain,Nickel,mg kg-1 DM,
P_grain,Phosphorus,mg kg-1 DM,
Pb_grain,Lead,mg kg-1 DM,
Rb_grain,Rubidium,mg kg-1 DM,
S_grain,Sulfur,mg kg-1 DM,
Se_grain,Selenium,mg kg-1 DM,
Sr_grain,Strontium,mg kg-1 DM,
Tl_grain,Thallium,mg kg-1 DM,
U_grain,Uranium,mg kg-1 DM,
V_grain,Vanadium,mg kg-1 DM,
Zn_grain,Zinc,mg kg-1 DM,
