FundingSource,ID,Crop_ICP_Run,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As_Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Cd_Tot_Aqu,Co_CaCl,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_CaCl,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_CaCl,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CaCl,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CaCl,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_CaCl,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_CaCl,Mo_Sol_Ca,Mo_Tot_Aqu,N_tot,Na_CaCl,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni_CaCl,Ni_DTPA,Ni_Sol_Ca,Ni_Tot_Aqu,NOPC,P_CaCl,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_CaCl,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_CaCl,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti_Tot_Aqu,U_Sol_Ca,Zn_CaCl,Zn_DTPA,Zn_E,Zn_FIA,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
GCRF,ETH0002,1,10.7089126396501,38.8917684146277,2464.24729,4,25/11/2017,25/11/2017,Wheat,Field stack,Main,NA,3.75916,NA,NA,4.54382,NA,400.33757,NA,0.05581,NA,0.00147,3.29611,31.54902,4410.53283,NA,1287.56333,34.04161,3.80515,0.72220,3716.04671,NA,3.85545,1202.92894,0.13025,2.39426,NA,NA,0.01073,29.87158,3198.30380,0.02630,72834.75233,3.27736,4.85237,0.04040,1.39160,1.43200,39.46848,12882.87284,NA,0.00007,0.72451,0.00615,NA,0.00258,66.44199,162.91133,NA,NA,0.01445,62.74598,55.50437,0.04134,NA,5970.49846,0.00513,90087.58733,49.92431,0.42967,50.01316,3390.64235,306.03709,6.94600,241.44010,8708.83084,0.62867,NA,2915.07018,0.00216,3443.90292,0.02971,0.01725,0.38971,0.12090,12.85348,0.08218,8.19981,125.25187,0.05332,NA,0.03187,115.23123,18.98500,0.71148,32.64000,503.22641,0.54545,713.69220,NA,0.00010,15.22060,246.37244,6.76,7.59,2.49183,3.08106,54.61341,6.35118,99.03968,9.93337,0.00392,211.31309,2.84932,0.52595,1721.02897,0.00037,0.01580,1.04123,30.59718,0.00000,4.29791,0.00853,123.35209
GCRF,ETH0003,1,10.7141244603590,38.8858719826327,2471.00092,4,25/11/2017,25/11/2017,Wheat,Field stack,Main,NA,5.72680,NA,NA,2.84477,NA,378.90551,NA,0.02544,NA,NA,2.75404,35.02476,4043.57288,NA,1232.65154,24.85006,0.23697,NA,3516.48837,NA,1.72547,1027.91065,0.10823,1.47096,NA,NA,0.01637,24.52814,3813.23933,0.03966,76522.50328,1.65177,4.39812,0.04960,0.78420,0.83380,39.19171,13196.33095,NA,0.00004,0.52745,0.00488,NA,0.00234,32.53527,96.80168,NA,NA,0.00818,44.11660,55.66391,NA,NA,4894.61518,0.01352,79699.50776,49.07170,0.36175,44.97581,4245.64431,298.61950,7.18129,244.25300,10362.24758,0.71789,NA,1134.52798,0.00180,1451.81969,0.00135,0.00120,NA,0.07210,15.91812,0.07577,10.21322,157.42545,0.01265,NA,0.01284,81.53456,19.32000,0.14821,6.60000,211.94193,0.08611,373.42599,NA,0.00010,10.48640,230.67642,7.07,8.04,1.30232,2.86462,9.36220,4.57750,41.58776,5.45072,0.00100,85.58469,1.26026,0.22523,982.78689,0.00119,0.00647,0.28792,33.74796,0.00000,4.36839,0.00785,85.95252
GCRF,ETH0004,1,10.8201849025986,38.6835575467847,2718.45204,4,24/11/2017,24/11/2017,Wheat,Standing crop,Main,NA,8.59721,NA,NA,5.39468,NA,391.71691,NA,0.08437,NA,NA,2.88235,37.76128,3927.29855,NA,1132.11200,76.26375,NA,1.21033,3408.93037,NA,4.73146,1073.24424,0.02037,2.22804,NA,NA,0.02316,21.77701,4624.20398,0.06837,90744.96880,4.57361,12.16029,0.03490,1.49010,1.52500,23.71417,6114.87796,NA,0.00019,1.06345,0.01612,NA,0.00251,120.60562,735.87756,0.00447,NA,0.01553,143.37256,43.90047,1.28355,NA,8660.56851,0.00833,130894.44989,328.27389,2.29824,357.39910,4323.21106,531.96312,10.63164,426.73738,11583.81738,3.89238,NA,2670.76553,0.00803,3405.90115,0.00201,0.00098,0.00886,0.13610,18.08021,0.09199,13.32140,134.38690,0.08573,NA,0.05011,366.93894,18.24000,0.53989,18.84000,390.87788,0.14599,801.45245,NA,0.00010,11.65379,490.23361,6.46,7.17,4.69934,3.82751,130.58086,6.87833,99.66156,10.47226,0.00283,504.28952,3.33495,0.30421,2046.68425,0.00005,0.02258,0.83694,39.82536,0.00000,4.09376,0.01904,96.88578
GCRF,ETH0005,1,10.7933751639576,38.6322958758530,2307.12413,4,24/11/2017,24/11/2017,Wheat,Standing crop,Main,NA,4.29851,NA,NA,5.27338,NA,350.27109,NA,0.01234,NA,NA,3.44883,31.98271,4275.53523,NA,1367.07163,30.73122,0.52939,NA,3899.62682,NA,1.23817,1144.50413,0.08443,2.05769,NA,NA,0.01314,29.17925,3657.48794,0.07093,81763.99610,7.00949,12.62531,0.00000,2.07300,2.07300,25.20584,6498.33640,NA,0.00037,0.74144,0.02417,NA,0.00242,31.78135,70.28315,NA,NA,0.00927,29.76973,40.02295,0.29247,NA,12738.31385,0.04555,97409.62051,138.59765,0.98681,152.92396,4343.12960,366.03637,7.02583,294.72498,4593.94051,19.34093,NA,2206.33385,0.11217,2800.84106,0.00053,0.00036,0.34702,0.18380,14.50239,0.14318,8.86217,107.17404,0.04868,NA,0.03154,58.09752,15.93500,0.79769,60.68000,913.11415,0.59516,1401.16842,NA,0.00012,17.03981,327.77292,5.64,6.53,5.27628,2.91159,117.83991,5.65453,194.33633,9.08200,0.00260,456.10953,3.08563,0.67272,2309.91450,0.00003,0.04471,1.76968,10.70863,0.00000,3.50873,0.01938,103.23491
GCRF,ETH0006,1,10.7859934369479,38.7414472335203,2659.17315,4,24/11/2017,24/11/2017,Barley,Field stack,Main,NA,21.00478,NA,NA,16.25701,NA,255.21667,NA,0.01713,NA,NA,4.68945,48.07811,5854.12284,NA,1221.40505,12.57204,NA,NA,3574.17936,NA,2.70257,967.55734,NA,2.03519,NA,NA,0.05318,20.97632,3931.66249,0.08286,99081.95083,3.05300,129.61623,0.00000,1.28800,1.28800,19.11466,5735.16309,NA,0.00073,0.67405,0.06371,NA,0.00261,27.14610,18.23499,NA,NA,0.00663,6.42192,35.14218,0.06201,NA,5594.59603,0.02008,95937.86866,88.61474,0.54144,96.44884,2021.45301,386.77427,6.49915,309.54989,5493.46586,25.63483,NA,903.51129,0.39338,1512.11822,0.00014,0.00009,NA,0.10080,14.57195,0.06631,11.14599,154.35782,0.00404,NA,0.01048,11.44724,17.27500,0.45252,28.90000,887.56175,0.22562,1115.38690,NA,0.00036,5.56656,244.11664,5.40,6.32,2.71968,2.45033,93.72771,3.90584,78.03623,3.18893,0.00101,199.30844,1.43166,0.24545,1808.82006,0.00001,0.08718,0.50492,9.24103,0.00000,2.89948,0.06983,110.83563
GCRF,ETH0007,1,10.7613907556557,38.8093451642968,2563.55372,4,24/11/2017,24/11/2017,Wheat,Store,Main,NA,4.79081,NA,NA,4.04874,NA,352.40748,NA,0.02464,NA,NA,3.54953,35.61669,4877.78756,NA,1438.79127,23.60774,0.35643,NA,4177.07427,NA,0.79183,1233.29295,0.07177,3.68572,NA,NA,0.01624,25.27411,3120.43007,0.03420,67502.46562,0.24687,8.41008,0.00000,1.03200,1.03200,23.77694,8522.99466,NA,0.00020,0.74704,0.02532,NA,0.00252,60.01890,218.22335,NA,NA,0.01084,57.24106,45.03623,0.01713,NA,9623.78940,0.01162,107967.21451,140.26042,1.18897,167.16078,3576.64332,630.78484,11.92136,521.03738,18869.74968,7.89247,NA,1077.44438,0.05436,1742.92588,0.00114,0.00065,0.01745,0.09490,13.95098,0.06923,12.00141,392.74496,0.09868,NA,0.06099,115.03863,18.02500,1.76075,68.30000,1240.76460,1.69644,1249.78768,NA,0.00011,4.56833,187.95402,5.94,6.87,0.22825,2.60351,48.88615,4.78628,65.88783,5.19209,0.00239,229.33044,2.69881,0.23853,4935.56030,0.00001,0.02618,0.63120,6.99224,0.00000,3.53450,0.01227,97.10159
GCRF,ETH0008,1,10.7763922721442,38.7436697563215,2545.29792,4,24/11/2017,24/11/2017,Wheat,Standing crop,Main,NA,7.75542,NA,NA,5.98201,NA,398.05513,NA,0.06715,NA,0.00167,2.74059,36.39104,3984.29716,NA,983.36097,61.98993,NA,NA,2453.36999,NA,5.42797,985.82431,0.01822,2.25856,NA,NA,0.02072,13.03966,3883.28916,0.60084,81997.11016,5.48144,12.61599,0.00000,2.17700,2.17700,25.68177,6564.49964,NA,0.00206,0.58080,0.16515,NA,0.24748,33.05398,101.72172,NA,NA,0.00908,38.53112,44.89499,0.08237,NA,9505.90949,0.01737,88723.41087,67.18368,0.40606,57.42377,3202.92524,458.84919,9.36118,370.98927,5713.87084,16.88549,NA,911.20693,21.16349,1232.03859,0.00010,0.00003,0.07572,0.17180,30.35845,0.16294,23.44701,141.09727,0.52446,NA,0.41297,57.15860,17.64500,0.19701,5.20000,171.16005,0.06075,493.11470,NA,0.00030,12.17168,400.33526,4.69,5.54,9.54350,3.23633,120.13441,5.11934,135.57121,5.72630,0.00100,615.25657,1.86069,0.43561,1315.40534,0.00004,0.12970,0.52543,1.54539,0.00000,1.99331,0.08837,87.49067
GCRF,ETH0009,1,10.7464691011303,38.7926739124081,2649.83575,4,25/11/2017,25/11/2017,Wheat,Standing crop,Main,NA,12.98244,NA,NA,8.10094,NA,388.81380,NA,0.02175,NA,0.00217,3.62599,40.95803,3938.86634,NA,984.70033,27.65232,NA,NA,2313.70962,NA,5.70393,1037.11451,NA,4.35981,NA,NA,0.04258,17.29144,7151.01104,0.10563,107213.83048,2.17132,73.00086,0.00000,2.06900,2.06900,16.67920,4594.48203,NA,0.00057,0.83424,0.08127,NA,0.00315,42.29353,37.93357,NA,NA,0.00667,14.40044,32.92111,0.14229,NA,10697.60027,0.01556,112128.07537,24.01809,0.18285,32.66062,2128.99809,379.66576,6.11434,316.28397,4520.94201,18.68164,NA,768.99939,0.59318,1324.38520,0.00057,0.00006,NA,0.18530,16.85025,0.07958,12.36329,243.61127,NA,NA,0.00596,37.00518,19.00000,0.28907,4.58000,279.67470,0.05728,472.75191,NA,0.00071,6.76255,428.94604,5.27,6.18,9.73789,3.26613,159.34877,4.55026,195.87845,6.81184,0.00184,459.82732,1.83422,0.21740,2679.86340,0.00004,0.04484,0.33295,11.26379,0.00000,3.13497,0.05016,88.88556
GCRF,ETH0010,1,10.6706094730311,38.6421720063014,2225.42153,4,25/11/2017,25/11/2017,Teff,Standing crop,Main,NA,451.76870,0.03304,NA,14.00605,NA,1261.56994,NA,0.25455,NA,0.01397,7.31905,542.26333,3848.45079,0.14268,1697.34703,29.08611,NA,0.82480,2994.90032,0.06454,5.83204,1778.01409,0.02936,5.90143,0.00114,NA,1.44878,26.99466,3869.94109,0.03021,79406.47476,6.49201,13.02427,0.00000,2.09600,2.09600,27.91316,8360.87947,NA,0.00011,0.88183,0.01792,NA,0.00220,44.13637,70.76981,NA,NA,0.00741,27.26139,49.92249,0.06644,NA,8819.90495,0.00750,108785.46979,63.77659,0.49297,67.26109,3183.35803,580.27401,12.28010,473.05024,8641.45760,7.72871,NA,1612.66211,0.01969,2090.65066,0.00029,0.00020,0.03713,0.17820,18.48875,0.09265,12.45824,143.74222,0.02253,NA,0.01737,54.36669,20.81500,0.28287,13.62000,384.14233,0.12537,854.63762,NA,0.00011,9.42339,262.67756,5.96,6.90,9.37375,2.92259,122.70275,5.27317,173.85513,9.95042,0.00173,459.22328,2.20488,0.43923,2489.21498,0.00001,0.02423,1.22778,12.94789,0.00000,3.74805,0.01390,105.68160
GCRF,ETH0012,1,10.6827734248258,38.6852401883211,2386.00308,4,25/11/2017,25/11/2017,Wheat,Standing crop,Main,NA,8.44795,NA,NA,8.30851,NA,1202.87239,NA,0.03291,NA,NA,6.15799,45.00632,5135.48047,NA,1783.11123,33.74975,NA,1.58111,4094.17205,NA,3.27188,1551.08008,0.03567,4.52981,NA,NA,0.01975,26.86401,3271.87651,0.03373,73002.11554,5.35440,8.19907,0.00000,0.98000,0.98000,31.98892,9116.95587,NA,0.00028,0.44234,0.03890,NA,0.00219,35.41990,103.19832,NA,NA,0.00827,44.27946,55.19481,0.08477,NA,5961.74185,0.00587,72450.89048,63.11509,0.49218,64.22821,3497.21293,581.24092,14.10522,483.86888,8926.74756,7.33935,NA,1068.17877,0.10215,1336.92894,0.00022,0.00017,0.01374,0.08730,31.63812,0.13955,23.84650,136.29504,0.30116,NA,0.23314,85.88582,26.10500,0.17428,6.06000,80.97953,0.06267,282.86050,NA,0.00011,13.40616,197.86502,5.65,6.62,NA,3.14998,12.08222,5.84860,56.00043,5.31488,0.00114,171.86999,1.66827,0.28839,1134.84051,0.00002,0.02353,0.43908,3.01697,0.00000,3.15223,0.01259,86.21297
