FundingSource,ID,Crop_ICP_Run,Latitude,Longitude,Altitude,LocationPrecision,SamplingStart,SamplingEnd,Crop,GrainSource,Site,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain,Al_Oxa,Al_Sol_Ca,Al_Tot_Aqu,As _Tot_Aqu,Ba_Sol_Ca,C_inorg,C_org,C_tot,Ca_CEC,Ca_Tot_Aqu,Cd _Tot_Aqu,Cd_DTPA,Cd_Sol_Ca,Co_CaCl,Co_DTPA,Co_Sol_Ca,Co_Tot_Aqu,Cr_Tot_Aqu,Cu_CaCl,Cu_DTPA,Cu_Sol_Ca,Cu_Tot_Aqu,eCEC,Fe_CaCl,Fe_DTPA,Fe_Oxa,Fe_Sol_Ca,Fe_Tot_Aqu,K_CaCl,K_CEC,K_Sol_Ca,K_Tot_Aqu,Mg_CaCl,Mg_CEC,Mg_Sol_Ca,Mg_Tot_Aqu,Mn_CaCl,Mn_DTPA,Mn_Oxa,Mn_Sol_Ca,Mn_Tot_Aqu,Mo_CaCl,Mo_Sol_Ca,Mo_Tot_Aqu,N_tot,Na_CaCl,Na_CEC,Na_Sol_Ca,Na_Tot_Aqu,Ni _Tot_Aqu,Ni_CaCl,Ni_DTPA,Ni_Sol_Ca,NOPC,P_CaCl,P_Olsen,P_Oxa,P_Sol_Ca,P_Tot_Aqu,Pb_DTPA,Pb_Sol_Ca,Pb_Tot_Aqu,PBI,pH_CaNO,pH_w,S_Ads_Seq,S_CaCl,S_Org_Seq,S_Sol_Seq,S_Tot_Aqu,Se_Ads_Seq,Se_CaCl,Se_Org_Seq,Se_Sol_Seq,Se_Tot_Aqu,Ti _Tot_Aqu,U_Sol_Ca,Zn_CaCl,Zn_DTPA,Zn_E,Zn_FIA,Zn_LogKd,Zn_Sol_Ca,Zn_Tot_Aqu
BMGF,ETH0625,4,11.5958215514069,36.4720994826209,1083.38011,6,24/12/2018,24/12/2018,Rice,Store,Main,-0.00063,44.62276,0.00537,-0.36109,0.32829,0.00949,127.07092,0.00210,0.07554,1.98251,0.05821,5.51614,67.72695,2429.77000,-0.01634,1171.89513,18.77468,0.21635,5.39280,2580.87508,0.00287,14.27539,1751.64355,0.04189,0.32066,-0.00137,-0.00019,0.13757,20.53901,3943.13374,0.08133,80037.66529,0.80613,3.12220,0.00000,2.23600,2.23600,24.00076,9738.34170,0.11562,0.01401,0.00012,NM,0.42000,0.00000,128.19000,302.36000,NM,3.04000,0.01000,75.27000,50.82000,NM,26.43000,9094.53000,0.09000,103045.24000,NM,0.35000,45.12000,657.77000,NM,23.20000,877.02000,13561.82000,NM,62.15000,3682.95000,0.03000,4341.41000,NM,0.00008,0.02379,0.13520,NM,0.13343,28.45496,521.33297,211.97235,NM,5.12070,0.10981,NM,NM,3.06746,57.22013,0.04263,45.54526,0.07343,0.00017,4.20556,173.58063,6.03000,6.45000,-1.50995,NM,148.56705,4.50303,133.48245,0.16321,NM,253.15379,1.09885,0.24735,1312.19994,0.00001,NM,1.28153,6.93356,NM,3.49633,0.01641,65.06677
BMGF,ETH0773,4,8.9955585605044,38.2490090399811,2121.64809,4,31/12/2018,01/01/2019,Teff,Field stack,Close pair,0.00253,20.28018,0.00360,0.18976,11.62931,-0.01227,1644.06508,0.00242,0.09235,0.12371,-0.00008,5.81261,48.68473,4176.20822,0.02826,1873.93472,56.89242,0.53485,0.50382,3928.95343,0.00961,1.99249,2703.21167,0.22603,5.37202,-0.00115,-0.00027,0.06524,29.83586,2921.57709,0.02394,66048.59211,3.20775,6.47730,0.01290,1.09610,1.10900,36.41589,10497.15334,0.13823,0.01527,0.00007,NM,0.04000,0.00000,29.56000,76.14000,NM,1.41000,0.01000,30.71000,47.52000,NM,12.68000,4345.43000,0.01000,64124.19000,NM,0.78000,131.70000,7212.50000,NM,8.53000,297.38000,9482.56000,NM,27.32000,1450.15000,0.00000,1796.94000,NM,0.00078,0.04126,0.07080,NM,0.14535,23.27720,139.92748,68.14667,NM,1.58072,0.02171,NM,NM,3.57175,32.34090,0.04571,95.02268,0.42984,0.00009,17.33504,184.50091,6.54000,7.32000,NM,NM,NM,NM,55.11435,NM,NM,NM,NM,0.54810,928.06126,0.00019,NM,0.39453,7.94967,NM,4.00856,0.00408,114.27840
BMGF,ETH0783,3,8.3963616539442,36.4588445272210,1911.26130,8,03/01/2019,03/01/2019,Teff,Field stack,Main,0.00092,103.10771,0.00724,-2.52281,26.87095,-0.00560,1226.23091,0.00627,0.04601,0.36726,0.00097,5.36615,118.42063,4673.63392,-0.08848,2066.55494,357.02602,0.04867,4.06339,4065.50000,0.01666,5.58295,2034.10993,0.05056,5.21063,-0.00058,0.00188,0.33873,30.34008,4560.26395,13.07313,76755.69190,2.96577,30.28095,0.00000,2.37000,2.37000,4.92781,962.37602,0.09685,0.00717,0.00925,NM,0.36000,0.20000,22.51000,68.17000,NM,0.33000,0.01000,14.70000,13.28000,NM,20.65000,13035.60000,0.03000,96266.43000,NM,0.73000,217.62000,2900.55000,NM,2.50000,176.90000,1912.31000,NM,129.56000,2589.55000,175.92000,3033.90000,NM,0.00012,0.56508,0.22900,NM,0.04695,5.50044,60.02949,35.04696,NM,0.39455,0.26294,NM,NM,2.71024,167.81787,0.02878,520.90790,0.13300,0.00083,22.34406,464.51363,4.32000,4.77000,-19.88505,NM,234.87716,24.67006,240.48504,1.10146,NM,1225.67779,7.11426,0.62978,800.72108,0.00032,NM,0.91628,4.08531,NM,1.48738,0.77635,100.11356
BMGF,ETH0802,4,12.4942259444505,37.4878330324342,2012.12971,4,12/01/2019,12/01/2019,Teff,Field stack,Main,0.00621,2674.00156,0.20312,-0.10198,29.08615,0.07253,2358.83751,0.00759,3.42011,10.65698,0.04567,8.85025,3086.15537,5126.11526,0.46631,2833.18948,151.80935,0.32827,9.72393,5358.62276,0.29537,2.59821,2190.66642,0.17234,25.41448,0.00331,0.01923,7.81712,41.52157,3166.05803,NM,80715.47727,0.65245,NM,0.01110,0.76250,0.77360,31.98581,10639.81287,0.09381,0.00825,NM,NM,0.09000,NM,84.37000,140.85000,NM,1.42000,NM,39.97000,49.30000,NM,13.98000,7170.39000,NM,99591.20000,NM,0.32000,NM,2320.94000,NM,14.74000,NM,15910.82000,NM,21.85000,1481.81000,NM,2173.27000,NM,NM,0.01471,0.05860,NM,0.16560,NM,253.00943,150.41902,NM,1.32408,NM,NM,NM,1.50932,164.33652,NM,94.55782,0.11055,NM,6.22955,163.91654,NM,7.20000,-0.56063,NM,47.76237,2.26334,42.96776,0.23036,NM,91.75045,0.94690,0.29922,868.25070,NM,NM,0.28295,NM,NM,NM,NM,93.92298
BMGF,ETH0803,4,12.3587078212777,37.5484801424742,1894.05862,4,12/01/2019,12/01/2019,Sorghum,Standing crop,Main,0.02002,10.35927,-0.00078,-0.28080,0.36779,-0.01226,153.37575,0.00016,0.01590,0.45947,-0.00091,1.81046,34.76444,5263.63006,-0.00489,1969.37784,8.72721,0.43391,0.84589,4283.92823,0.00493,2.33672,1196.72272,0.09196,0.74387,-0.00132,-0.00043,0.05725,21.22863,3768.83548,NM,78044.57013,1.42230,NM,0.00000,0.96160,0.96160,31.54899,9091.89498,0.07432,0.00834,NM,NM,0.37000,NM,56.67000,59.65000,NM,1.83000,NM,41.92000,48.56000,NM,27.48000,10677.81000,NM,86697.86000,NM,0.55000,NM,4129.22000,NM,13.72000,NM,9364.06000,NM,55.31000,1079.93000,NM,1859.83000,NM,NM,0.02006,0.05860,NM,0.13786,NM,136.73750,69.27699,NM,1.78433,NM,NM,NM,6.12230,535.35575,NM,279.88926,0.21876,NM,9.83097,182.41855,NM,6.54000,-0.54177,NM,51.71755,1.49332,44.99422,0.53090,NM,189.20592,0.60418,0.44359,1198.29677,NM,NM,0.64025,NM,NM,NM,NM,104.23120
BMGF,ETH0811,4,12.3428369688579,37.2369165147393,1902.96526,4,13/01/2019,13/01/2019,Sorghum,Standing crop,Close pair,-0.00046,28.44571,-0.00001,-0.07346,0.53501,-0.01227,168.06705,-0.00083,0.02780,0.31057,0.00088,1.82888,48.56280,4693.03681,-0.01641,1755.74736,9.48772,0.33295,0.88657,3834.09687,-0.00220,1.88473,1308.06811,0.03136,0.61862,-0.00132,-0.00022,0.12248,18.01752,5055.75072,NM,89461.09547,1.65345,NM,0.00000,0.71140,0.71140,33.47900,9269.72505,0.08676,0.01008,NM,NM,0.25000,NM,79.99000,250.90000,NM,2.06000,NM,69.46000,48.28000,NM,17.82000,9491.74000,NM,92623.61000,NM,0.47000,NM,2966.09000,NM,11.65000,NM,8832.29000,NM,52.09000,1756.06000,NM,2151.33000,NM,NM,0.02588,0.05200,NM,0.07477,NM,198.10957,184.06198,NM,3.02073,NM,NM,NM,2.57222,4223.08171,NM,183.37844,0.15512,NM,8.66995,200.18601,NM,6.77000,-0.02467,NM,44.38722,2.05248,55.35254,0.24994,NM,104.90653,0.50216,0.32820,653.60760,NM,NM,0.27754,NM,NM,NM,NM,79.69907
BMGF,ETH0818,2,8.8739638399225,39.2451090642833,2362.00718,4,27/12/2018,27/12/2018,Wheat,Field stack,Main,0.00132,7.12744,-0.00196,-2.91742,5.66600,-0.01543,393.75234,-0.01038,0.02415,0.13077,0.00003,3.51135,30.83231,3811.81004,0.02465,1082.33931,28.20268,0.60059,0.34316,2080.87598,0.00936,3.01762,1789.97464,0.06091,3.46116,-0.00058,-0.00035,0.10020,21.70998,3512.00363,0.03088,56444.01394,3.07389,3.16023,0.49970,1.56730,2.06700,41.18902,27240.57973,0.21361,0.02236,0.00005,NM,0.05000,0.00000,27.27000,63.20000,NM,1.47000,0.01000,27.24000,51.01000,NM,13.86000,3253.77000,0.01000,58322.76000,NM,0.43000,59.42000,6565.63000,NM,4.87000,182.97000,11308.72000,NM,10.85000,1415.62000,0.00000,1741.25000,NM,0.00172,0.05913,0.09500,NM,0.08189,15.62975,123.16502,70.30308,NM,0.72692,0.00499,NM,NM,1.59452,104.39894,0.05595,135.77503,0.40500,0.00006,11.62329,230.92832,7.31000,8.03000,-0.00742,NM,100.92714,4.36061,123.94439,0.28064,NM,178.01914,2.74501,0.56579,1286.61312,0.00322,NM,0.24067,10.75492,NM,4.31460,0.00245,98.41873
BMGF,ETH0827,4,12.3904362873785,37.4332417018221,1817.05512,4,14/01/2019,14/01/2019,Teff,Field stack,Main,0.00118,912.62479,0.05563,0.28726,17.97668,-0.00144,2010.94102,0.00108,0.81202,2.79956,0.01862,8.59011,984.46426,5823.93239,0.24108,2245.98775,50.24512,0.57828,5.05336,5229.83821,0.09229,2.43426,2245.01235,0.85785,10.34679,0.00045,0.00602,2.64742,43.21981,3737.57938,0.00996,78515.06998,1.20283,3.50558,0.00000,1.61200,1.61200,32.74698,11032.15717,0.07817,0.00725,0.00010,NM,0.10000,0.00000,43.64000,156.11000,NM,3.13000,0.01000,67.56000,49.32000,NM,25.51000,4159.93000,0.01000,88978.32000,NM,0.48000,78.82000,3923.04000,NM,13.97000,514.91000,11810.63000,NM,19.12000,1272.50000,0.01000,1675.38000,NM,0.00024,0.01731,0.09770,NM,0.14730,26.72847,180.56792,117.73831,NM,2.30788,0.06477,NM,NM,35.31150,294.63150,0.44019,553.50065,0.16442,0.00011,6.00852,177.38136,6.32000,6.91000,-0.04794,NM,47.71000,1.85786,70.43981,0.38268,NM,135.58326,1.10548,0.31160,1316.97793,0.00001,NM,0.32911,6.93990,NM,3.63964,0.01085,96.28447
BMGF,ETH0828,4,12.4108319738233,37.3894997529329,1819.87110,4,14/01/2019,14/01/2019,Teff,Field stack,Main,0.00662,1296.43883,0.11787,1.24544,20.13543,0.03472,2006.99571,0.00391,1.02361,6.48701,0.04246,8.56951,1298.95898,5481.63550,0.48694,2593.04211,64.22892,0.28999,7.04734,5500.04795,1.57319,3.03063,2552.94338,0.13809,10.62154,0.00255,0.01152,3.40697,49.74389,1491.57333,0.02063,79708.98406,1.16227,4.08384,0.00000,1.21500,1.21500,29.69804,9432.74461,0.06556,0.00846,0.00014,NM,0.30000,0.00000,50.88000,160.96000,NM,2.21000,0.01000,51.93000,49.35000,NM,24.13000,1551.01000,0.02000,85300.74000,NM,0.34000,56.88000,2612.10000,NM,17.35000,655.08000,11606.34000,NM,35.26000,658.21000,0.04000,1585.86000,NM,0.00013,0.01523,0.06590,NM,0.10054,16.89713,114.66626,129.40676,NM,3.53507,0.15608,NM,NM,2.35410,61.03271,0.03428,35.34551,0.19040,0.00014,7.85314,182.13859,5.95000,6.60000,-0.01404,NM,48.81686,2.60609,50.15324,0.84154,NM,273.89558,0.78906,0.30269,1109.18166,0.00003,NM,0.41173,4.02045,NM,3.30052,0.01467,107.22974
BMGF,ETH0905,4,12.0728768341477,37.7396506819630,1826.73329,4,16/01/2019,16/01/2019,Finger millet,Field stack,Main,0.00476,2726.55347,0.19775,0.72169,30.17904,0.12448,4821.73981,0.00730,2.64982,16.12298,0.06994,9.67455,3626.02399,5039.58422,0.67812,2336.71421,169.78665,0.26588,8.95857,3233.79859,0.29460,3.47604,1700.53802,0.15735,25.67519,0.00451,0.02835,12.60309,27.54512,2971.74681,0.01015,75474.07348,0.83959,4.12184,0.00000,0.83730,0.83730,30.07111,8963.84992,0.11041,0.00853,0.00005,NM,0.11000,0.00000,82.25000,275.91000,NM,2.27000,0.01000,90.70000,47.68000,NM,16.75000,7579.68000,0.01000,114134.23000,NM,0.38000,60.09000,3303.97000,NM,14.74000,573.53000,11816.58000,NM,22.37000,1668.12000,0.02000,2205.28000,NM,0.00016,0.02440,0.05720,NM,0.16056,27.87348,186.88500,148.21843,NM,1.28039,0.02814,NM,NM,7.28650,193.86132,0.02856,320.49456,0.23081,0.00011,6.60274,170.37634,6.51000,6.79000,-0.03160,NM,53.55942,2.41317,51.60175,1.30727,NM,295.47719,0.98295,0.35974,1718.03555,0.00001,NM,0.38106,13.24321,NM,3.96845,0.00983,115.44289
